"id","answer","query","d1A","d2A","d3A","d4A","d5A","d1B","d2B","d3B","d4B","d5B","DCGlzA","DCGlzB","DCGll2A","DCGll2B","DCGll3A","DCGll3B","DCGll5A","DCGll5B","DCGllA","DCGllB","DCGlnA","DCGlnB","DCGe2zA","DCGe2zB","DCGe2l2A","DCGe2l2B","DCGe2l3A","DCGe2l3B","DCGe2l5A","DCGe2l5B","DCGe2lA","DCGe2lB","DCGe2nA","DCGe2nB","DCGe3zA","DCGe3zB","DCGe3l2A","DCGe3l2B","DCGe3l3A","DCGe3l3B","DCGe3l5A","DCGe3l5B","DCGe3lA","DCGe3lB","DCGe3nA","DCGe3nB","DCGe5zA","DCGe5zB","DCGe5l2A","DCGe5l2B","DCGe5l3A","DCGe5l3B","DCGe5l5A","DCGe5l5B","DCGe5lA","DCGe5lB","DCGe5nA","DCGe5nB","DCGb1zA","DCGb1zB","DCGb1l2A","DCGb1l2B","DCGb1l3A","DCGb1l3B","DCGb1l5A","DCGb1l5B","DCGb1lA","DCGb1lB","DCGb1nA","DCGb1nB","DCGb2zA","DCGb2zB","DCGb2l2A","DCGb2l2B","DCGb2l3A","DCGb2l3B","DCGb2l5A","DCGb2l5B","DCGb2lA","DCGb2lB","DCGb2nA","DCGb2nB","comments"
995,"good","d000185","d000913","d005278","d005200","d010311","d006445","d004061","d017012","d008005","e009714","e005559",0.956,0.62,0.934,0.531,0.923,0.476,0.913,0.44,0.967,0.567,0.9,0.4,0.942,0.56,0.913,0.467,0.897,0.408,0.885,0.372,0.956,0.489,0.867,0.333,0.934,0.529,0.902,0.435,0.884,0.375,0.87,0.338,0.95,0.45,0.85,0.3,0.927,0.499,0.891,0.403,0.871,0.341,0.856,0.304,0.944,0.411,0.833,0.267,1,0.803,1,0.723,1,0.678,1,0.644,1,0.8,1,0.6,0.912,0.438,0.869,0.339,0.845,0.274,0.827,0.236,0.933,0.333,0.8,0.2,""
996,"b","d019783","e005737","d007894","d011099","e010865","e000283","d015547","d013660","d015681","e001684","d003808",0,0.737,0,0.681,0,0.646,0,0.624,0,0.7,0,0.6,0,0.686,0,0.624,0,0.584,0,0.56,0,0.644,0,0.533,0,0.661,0,0.595,0,0.554,0,0.528,0,0.617,0,0.5,0,0.635,0,0.566,0,0.523,0,0.496,0,0.589,0,0.467,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,0.584,0,0.509,0,0.461,0,0.432,0,0.533,0,0.4,""
997,"b","e008637","b007039","b007198","e005616","e019126","e009801","e005751","e018379","e019126","e013025","e000763",0.912,0.891,0.869,0.893,0.845,0.892,0.827,0.894,0.933,0.867,0.8,0.9,0.912,0.854,0.869,0.857,0.845,0.855,0.827,0.858,0.933,0.822,0.8,0.867,0.912,0.836,0.869,0.84,0.845,0.837,0.827,0.841,0.933,0.8,0.8,0.85,0.912,0.818,0.869,0.822,0.845,0.819,0.827,0.823,0.933,0.778,0.8,0.833,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,0.781,0.869,0.786,0.845,0.783,0.827,0.788,0.933,0.733,0.8,0.8,""
998,"a","e003498","d005924","e011094","e017487","e005932","e004992","e013399","e012780","e007371","e003453","b019507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
999,"a","e003155","e015542","e009250","e013696","a003006","e002050","b014507","e014385","e011307","e008302","a002721",0.799,0,0.757,0,0.729,0,0.713,0,0.733,0,0.7,0,0.781,0,0.733,0,0.701,0,0.683,0,0.711,0,0.667,0,0.772,0,0.721,0,0.687,0,0.667,0,0.7,0,0.65,0,0.763,0,0.709,0,0.673,0,0.652,0,0.689,0,0.633,0,0.854,0,0.83,0,0.813,0,0.805,0,0.8,0,0.8,0,0.745,0,0.684,0,0.645,0,0.622,0,0.667,0,0.6,0,""
1000,"b","f003218","a009830","b003501","b019673","a009434","b003097","f001497","a005844","f008098","a006774","b017908",0,0.956,0,0.934,0,0.923,0,0.913,0,0.967,0,0.9,0,0.942,0,0.913,0,0.897,0,0.885,0,0.956,0,0.867,0,0.934,0,0.902,0,0.884,0,0.87,0,0.95,0,0.85,0,0.927,0,0.891,0,0.871,0,0.856,0,0.944,0,0.833,0,1,0,1,0,1,0,1,0,1,0,1,0,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,""
1001,"a","a009059","a005631","a002785","b005373","b018309","a001681","d019684","d006274","b013808","d007272","b018333",0.847,0,0.788,0,0.755,0,0.731,0,0.833,0,0.7,0,0.832,0,0.766,0,0.729,0,0.702,0,0.822,0,0.667,0,0.825,0,0.756,0,0.716,0,0.687,0,0.817,0,0.65,0,0.818,0,0.745,0,0.703,0,0.673,0,0.811,0,0.633,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,0.803,0,0.723,0,0.678,0,0.644,0,0.8,0,0.6,0,""
1002,"b","e012026","d002593","e018067","e019129","d008505","e001639","e005737","e003678","e000426","e013904","e005508",0.044,1,0.066,1,0.077,1,0.087,1,0.033,1,0.1,1,0.029,1,0.044,1,0.052,1,0.058,1,0.022,1,0.067,1,0.022,1,0.033,1,0.039,1,0.043,1,0.017,1,0.05,1,0.015,1,0.022,1,0.026,1,0.029,1,0.011,1,0.033,1,0.088,1,0.131,1,0.155,1,0.173,1,0.067,1,0.2,1,0,1,0,1,0,1,0,1,0,1,0,1,""
1003,"good","d010229","f002127","d002055","d010568","d013920","d008858","d001324","d009174","d011336","d011959","d011904",0.453,0.781,0.554,0.786,0.618,0.783,0.658,0.788,0.533,0.733,0.7,0.8,0.416,0.781,0.518,0.786,0.582,0.783,0.622,0.788,0.489,0.733,0.667,0.8,0.398,0.781,0.5,0.786,0.564,0.783,0.604,0.788,0.467,0.733,0.65,0.8,0.38,0.781,0.483,0.786,0.545,0.783,0.587,0.788,0.444,0.733,0.633,0.8,0.562,0.781,0.661,0.786,0.726,0.783,0.764,0.788,0.667,0.733,0.8,0.8,0.343,0.781,0.447,0.786,0.509,0.783,0.551,0.788,0.4,0.733,0.6,0.8,""
1004,"a","d010380","d003745","e001198","d014192","e017379","e009801","d011568","e013469","d005688","e017379","d000318",0,0.409,0,0.405,0,0.401,0,0.4,0,0.4,0,0.4,0,0.321,0,0.326,0,0.33,0,0.332,0,0.333,0,0.333,0,0.277,0,0.287,0,0.294,0,0.298,0,0.3,0,0.3,0,0.234,0,0.248,0,0.258,0,0.264,0,0.267,0,0.267,0,0.672,0,0.64,0,0.615,0,0.605,0,0.6,0,0.6,0,0.146,0,0.17,0,0.187,0,0.195,0,0.2,0,0.2,""
1005,"a","b017546","b016457","b001095","b015469","b004939","b002797","b019038","f007328","b010993","b000670","f006928",0.956,0.639,0.934,0.582,0.923,0.545,0.913,0.523,0.967,0.6,0.9,0.5,0.942,0.62,0.913,0.557,0.897,0.517,0.885,0.493,0.956,0.578,0.867,0.467,0.934,0.611,0.902,0.545,0.884,0.503,0.87,0.477,0.95,0.567,0.85,0.45,0.927,0.602,0.891,0.533,0.871,0.489,0.856,0.462,0.944,0.556,0.833,0.433,1,0.693,1,0.655,1,0.628,1,0.615,1,0.667,1,0.6,0.912,0.584,0.869,0.509,0.845,0.461,0.827,0.432,0.933,0.533,0.8,0.4,""
1006,"b","b017586","a007299","e012441","a001092","b012294","d014025","f017048","b004211","f019128","b017369","f014738",0.128,0.536,0.158,0.522,0.177,0.515,0.189,0.508,0.167,0.533,0.2,0.5,0.085,0.431,0.105,0.419,0.118,0.416,0.126,0.41,0.111,0.444,0.133,0.4,0.064,0.378,0.079,0.368,0.089,0.366,0.095,0.36,0.083,0.4,0.1,0.35,0.043,0.325,0.053,0.317,0.059,0.316,0.063,0.311,0.056,0.356,0.067,0.3,0.255,0.854,0.316,0.83,0.355,0.813,0.378,0.805,0.333,0.8,0.4,0.8,0,0.219,0,0.214,0,0.217,0,0.212,0,0.267,0,0.2,""
1007,"a","b000859","f006058","b009935","b018086","b006583","b016472","b005092","d001435","f014301","f006058","b009935",0.226,0.044,0.257,0.066,0.279,0.077,0.29,0.087,0.267,0.033,0.3,0.1,0.151,0.029,0.172,0.044,0.186,0.052,0.194,0.058,0.178,0.022,0.2,0.067,0.113,0.022,0.129,0.033,0.14,0.039,0.145,0.043,0.133,0.017,0.15,0.05,0.075,0.015,0.086,0.022,0.093,0.026,0.097,0.029,0.089,0.011,0.1,0.033,0.453,0.088,0.515,0.131,0.558,0.155,0.581,0.173,0.533,0.067,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
1008,"b","b019036","f012842","b006331","b012141","d006716","b011234","b000082","b006986","b005064","b019219","b011775",0.044,0.891,0.066,0.893,0.077,0.892,0.087,0.894,0.033,0.867,0.1,0.9,0.029,0.854,0.044,0.857,0.052,0.855,0.058,0.858,0.022,0.822,0.067,0.867,0.022,0.836,0.033,0.84,0.039,0.837,0.043,0.841,0.017,0.8,0.05,0.85,0.015,0.818,0.022,0.822,0.026,0.819,0.029,0.823,0.011,0.778,0.033,0.833,0.088,1,0.131,1,0.155,1,0.173,1,0.067,1,0.2,1,0,0.781,0,0.786,0,0.783,0,0.788,0,0.733,0,0.8,""
1009,"good","d008942","d018524","d011389","d000701","d008238","d008643","e013952","e009801","d000925","d013586","d004988",1,0.445,1,0.466,1,0.475,1,0.485,1,0.433,1,0.5,1,0.333,1,0.359,1,0.373,1,0.385,1,0.333,1,0.4,1,0.277,1,0.306,1,0.322,1,0.334,1,0.283,1,0.35,1,0.221,1,0.253,1,0.27,1,0.284,1,0.233,1,0.3,1,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,1,0.109,1,0.146,1,0.168,1,0.183,1,0.133,1,0.2,""
1010,"good","e003526","b009721","d011611","b016165","e003974","e009159","e009439","e018904","e006395","e010889","e003974",0.153,1,0.212,1,0.245,1,0.269,1,0.167,1,0.3,1,0.139,1,0.19,1,0.219,1,0.241,1,0.156,1,0.267,1,0.131,1,0.179,1,0.206,1,0.226,1,0.15,1,0.25,1,0.124,1,0.168,1,0.194,1,0.212,1,0.144,1,0.233,1,0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,1,0.109,1,0.146,1,0.168,1,0.183,1,0.133,1,0.2,1,""
1011,"a","e007332","e006099","e007272","e002021","e010825","e013304","e003068","d005688","e001831","e002021","b007166",0.763,0.274,0.735,0.243,0.714,0.221,0.705,0.21,0.7,0.233,0.7,0.2,0.684,0.182,0.647,0.162,0.619,0.147,0.606,0.14,0.6,0.156,0.6,0.133,0.644,0.137,0.603,0.121,0.571,0.11,0.557,0.105,0.55,0.117,0.55,0.1,0.605,0.091,0.559,0.081,0.524,0.074,0.508,0.07,0.5,0.078,0.5,0.067,1,0.547,1,0.485,1,0.442,1,0.419,1,0.467,1,0.4,0.526,0,0.47,0,0.428,0,0.409,0,0.4,0,0.4,0,""
1012,"b","e004656","d015685","e006107","e004177","b014679","e006734","e005826","e004443","e003874","b007387","d006293",0.599,0.693,0.6,0.616,0.602,0.569,0.601,0.538,0.6,0.667,0.6,0.5,0.501,0.657,0.515,0.58,0.525,0.533,0.529,0.503,0.511,0.622,0.533,0.467,0.453,0.639,0.472,0.562,0.487,0.515,0.493,0.485,0.467,0.6,0.5,0.45,0.404,0.62,0.43,0.544,0.448,0.497,0.457,0.467,0.422,0.578,0.467,0.433,0.891,0.803,0.854,0.723,0.832,0.678,0.817,0.644,0.867,0.8,0.8,0.6,0.307,0.584,0.345,0.509,0.372,0.461,0.385,0.432,0.333,0.533,0.4,0.4,""
1013,"a","e007252","e006843","e004827","e012064","e012208","e012895","e003587","e002552","d004770","b013654","e000829",0.182,0.044,0.192,0.066,0.202,0.077,0.204,0.087,0.233,0.033,0.2,0.1,0.122,0.029,0.128,0.044,0.135,0.052,0.136,0.058,0.156,0.022,0.133,0.067,0.091,0.022,0.096,0.033,0.101,0.039,0.102,0.043,0.117,0.017,0.1,0.05,0.061,0.015,0.064,0.022,0.067,0.026,0.068,0.029,0.078,0.011,0.067,0.033,0.365,0.088,0.384,0.131,0.404,0.155,0.408,0.173,0.467,0.067,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
1014,"b","e003090","e015628","a002740","b015555","e013794","e002524","e011626","a005142","e017035","b014238","e005478",0.38,0.453,0.386,0.554,0.385,0.618,0.389,0.658,0.333,0.533,0.4,0.7,0.282,0.416,0.301,0.518,0.308,0.582,0.317,0.622,0.244,0.489,0.333,0.667,0.234,0.398,0.258,0.5,0.27,0.564,0.281,0.604,0.2,0.467,0.3,0.65,0.185,0.38,0.216,0.483,0.231,0.545,0.245,0.587,0.156,0.444,0.267,0.633,0.672,0.562,0.64,0.661,0.615,0.726,0.605,0.764,0.6,0.667,0.6,0.8,0.088,0.343,0.131,0.447,0.155,0.509,0.173,0.551,0.067,0.4,0.2,0.6,""
1015,"a","d006696","d018433","d004209","d017742","d007316","d004102","e005189","e013209","e015403","e005295","e007472",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,""
1016,"bad","b011316","b017361","b018533","a005528","b019507","b017754","b013504","a005528","b001224","b017754","b011032",0.044,0.055,0.066,0.073,0.077,0.084,0.087,0.091,0.033,0.067,0.1,0.1,0.029,0.036,0.044,0.049,0.052,0.056,0.058,0.061,0.022,0.044,0.067,0.067,0.022,0.027,0.033,0.037,0.039,0.042,0.043,0.046,0.017,0.033,0.05,0.05,0.015,0.018,0.022,0.024,0.026,0.028,0.029,0.03,0.011,0.022,0.033,0.033,0.088,0.109,0.131,0.146,0.155,0.168,0.173,0.183,0.067,0.133,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
1017,"bad","b010864","e010067","e001054","f012412","b003971","b009281","e010067","b003971","d000058","f012412","e001054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
1018,"b","b015999","e006320","d013019","e013794","d011980","a001896","a007843","a005341","a006240","b000537","b019193",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,""
1019,"good","b015298","b003318","e017293","b015961","b003470","b006262","d007778","b002248","b003318","b006262","b003470",0.781,0.562,0.786,0.661,0.783,0.726,0.788,0.764,0.733,0.667,0.8,0.8,0.781,0.562,0.786,0.661,0.783,0.726,0.788,0.764,0.733,0.667,0.8,0.8,0.781,0.562,0.786,0.661,0.783,0.726,0.788,0.764,0.733,0.667,0.8,0.8,0.781,0.562,0.786,0.661,0.783,0.726,0.788,0.764,0.733,0.667,0.8,0.8,0.781,0.562,0.786,0.661,0.783,0.726,0.788,0.764,0.733,0.667,0.8,0.8,0.781,0.562,0.786,0.661,0.783,0.726,0.788,0.764,0.733,0.667,0.8,0.8,""
1020,"bad","a006326","d004770","e007049","e017810","a001802","e001198","f017917","b002134","f002861","b010405","a002697",0,0.292,0,0.254,0,0.23,0,0.216,0,0.267,0,0.2,0,0.195,0,0.17,0,0.154,0,0.144,0,0.178,0,0.133,0,0.146,0,0.127,0,0.115,0,0.108,0,0.133,0,0.1,0,0.097,0,0.085,0,0.077,0,0.072,0,0.089,0,0.067,0,0.584,0,0.509,0,0.461,0,0.432,0,0.533,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,""
1021,"good","e001388","e000253","e002067","e011345","d004770","e002576","e008753","e019813","a001524","a002588","d004770",0.818,0.219,0.769,0.17,0.739,0.137,0.719,0.118,0.767,0.167,0.7,0.1,0.793,0.146,0.741,0.113,0.708,0.091,0.687,0.079,0.733,0.111,0.667,0.067,0.781,0.109,0.727,0.085,0.692,0.068,0.671,0.059,0.717,0.083,0.65,0.05,0.769,0.073,0.713,0.057,0.676,0.046,0.654,0.039,0.7,0.056,0.633,0.033,0.891,0.438,0.854,0.339,0.832,0.274,0.817,0.236,0.867,0.333,0.8,0.2,0.745,0,0.684,0,0.645,0,0.622,0,0.667,0,0.6,0,""
1022,"b","b015298","d000576","e017293","d019428","e002568","b006788","b006262","b015257","b006433","b014702","d019428",0.044,0.675,0.066,0.604,0.077,0.56,0.087,0.532,0.033,0.633,0.1,0.5,0.029,0.596,0.044,0.516,0.052,0.464,0.058,0.433,0.022,0.533,0.067,0.4,0.022,0.557,0.033,0.472,0.039,0.417,0.043,0.384,0.017,0.483,0.05,0.35,0.015,0.517,0.022,0.427,0.026,0.369,0.029,0.335,0.011,0.433,0.033,0.3,0.088,0.912,0.131,0.869,0.155,0.845,0.173,0.827,0.067,0.933,0.2,0.8,0,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,""
1023,"good","b008067","a000507","e003982","a009956","b007993","b009980","e003335","d004770","d019312","e018067","b007372",0.591,0.142,0.595,0.204,0.599,0.238,0.6,0.265,0.6,0.133,0.6,0.3,0.504,0.124,0.517,0.18,0.528,0.211,0.532,0.234,0.533,0.111,0.533,0.267,0.46,0.115,0.478,0.168,0.492,0.197,0.498,0.219,0.5,0.1,0.5,0.25,0.416,0.106,0.438,0.156,0.456,0.183,0.463,0.204,0.467,0.089,0.467,0.233,0.854,0.197,0.83,0.277,0.813,0.322,0.805,0.356,0.8,0.2,0.8,0.4,0.328,0.088,0.36,0.131,0.385,0.155,0.395,0.173,0.4,0.067,0.4,0.2,""
1024,"b","e012026","e015274","e015187","a006400","b000502","d011904","e013904","e005508","e003678","e000426","e009297",0.219,0.956,0.214,0.934,0.217,0.923,0.212,0.913,0.267,0.967,0.2,0.9,0.219,0.942,0.214,0.913,0.217,0.897,0.212,0.885,0.267,0.956,0.2,0.867,0.219,0.934,0.214,0.902,0.217,0.884,0.212,0.87,0.267,0.95,0.2,0.85,0.219,0.927,0.214,0.891,0.217,0.871,0.212,0.856,0.267,0.944,0.2,0.833,0.219,1,0.214,1,0.217,1,0.212,1,0.267,1,0.2,1,0.219,0.912,0.214,0.869,0.217,0.845,0.212,0.827,0.267,0.933,0.2,0.8,""
1025,"good","d012461","d005725","d002981","d011506","d015685","d009960","d007493","d012008","d001119","d000452","d005725",0.511,0.044,0.507,0.066,0.507,0.077,0.505,0.087,0.533,0.033,0.5,0.1,0.377,0.029,0.387,0.044,0.394,0.052,0.398,0.058,0.4,0.022,0.4,0.067,0.31,0.022,0.327,0.033,0.337,0.039,0.344,0.043,0.333,0.017,0.35,0.05,0.243,0.015,0.267,0.022,0.281,0.026,0.29,0.029,0.267,0.011,0.3,0.033,0.912,0.088,0.869,0.131,0.845,0.155,0.827,0.173,0.933,0.067,0.8,0.2,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,""
1026,"good","e008019","e000392","e000998","e017154","e015495","e015274","e016799","e017002","e000392","e005498","e011607",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,""
1027,"b","b001148","e017379","e009801","b000963","b003827","b017044","b000856","b004306","b003827","b015975","b011674",0.299,0.573,0.381,0.585,0.432,0.593,0.465,0.598,0.367,0.6,0.5,0.6,0.285,0.431,0.359,0.446,0.406,0.458,0.436,0.464,0.356,0.467,0.467,0.467,0.277,0.359,0.348,0.377,0.393,0.39,0.422,0.397,0.35,0.4,0.45,0.4,0.27,0.288,0.338,0.308,0.38,0.322,0.407,0.33,0.344,0.333,0.433,0.333,0.343,1,0.447,1,0.509,1,0.551,1,0.4,1,0.6,1,0.255,0.146,0.316,0.17,0.355,0.187,0.378,0.195,0.333,0.2,0.4,0.2,""
1028,"good","d018433","e013469","e013756","d001785","e001198","e010651","d014208","d008286","e010651","d002871","d002497",0.146,0.81,0.17,0.765,0.187,0.736,0.195,0.718,0.2,0.767,0.2,0.7,0.146,0.796,0.17,0.743,0.187,0.71,0.195,0.689,0.2,0.756,0.2,0.667,0.146,0.788,0.17,0.732,0.187,0.697,0.195,0.675,0.2,0.75,0.2,0.65,0.146,0.781,0.17,0.721,0.187,0.684,0.195,0.66,0.2,0.744,0.2,0.633,0.146,0.854,0.17,0.83,0.187,0.813,0.195,0.805,0.2,0.8,0.2,0.8,0.146,0.766,0.17,0.699,0.187,0.659,0.195,0.631,0.2,0.733,0.2,0.6,""
1029,"good","e012026","e005737","e005516","e005508","e013904","e003678","e009603","e001639","e014617","d008505","e003091",1,0.518,1,0.512,1,0.51,1,0.506,1,0.533,1,0.5,1,0.394,1,0.398,1,0.402,1,0.403,1,0.422,1,0.4,1,0.332,1,0.341,1,0.348,1,0.351,1,0.367,1,0.35,1,0.27,1,0.284,1,0.294,1,0.299,1,0.311,1,0.3,1,0.891,1,0.854,1,0.832,1,0.817,1,0.867,1,0.8,1,0.146,1,0.17,1,0.187,1,0.195,1,0.2,1,0.2,""
1030,"bad","d010361","e001198","d005265","e003874","d017651","e006835","d009583","d012214","e001198","e005080","d000238",0.164,0.635,0.18,0.577,0.192,0.537,0.198,0.516,0.2,0.533,0.2,0.5,0.109,0.599,0.12,0.542,0.128,0.501,0.132,0.48,0.133,0.489,0.133,0.467,0.082,0.58,0.09,0.524,0.096,0.483,0.099,0.462,0.1,0.467,0.1,0.45,0.055,0.562,0.06,0.506,0.064,0.464,0.066,0.445,0.067,0.444,0.067,0.433,0.328,0.745,0.36,0.684,0.385,0.645,0.395,0.622,0.4,0.667,0.4,0.6,0,0.526,0,0.47,0,0.428,0,0.409,0,0.4,0,0.4,""
1031,"b","e007349","d009843","d012286","e017810","e014334","a001413","e011626","a001413","e002050","d002676","e014334",0.128,0.044,0.158,0.066,0.177,0.077,0.189,0.087,0.167,0.033,0.2,0.1,0.085,0.029,0.105,0.044,0.118,0.052,0.126,0.058,0.111,0.022,0.133,0.067,0.064,0.022,0.079,0.033,0.089,0.039,0.095,0.043,0.083,0.017,0.1,0.05,0.043,0.015,0.053,0.022,0.059,0.026,0.063,0.029,0.056,0.011,0.067,0.033,0.255,0.088,0.316,0.131,0.355,0.155,0.378,0.173,0.333,0.067,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
1032,"good","e010067","d017336","e009926","e006685","e006905","f010038","f010038","e005279","e009926","e016226","e006685",0.292,0.445,0.338,0.51,0.37,0.556,0.387,0.579,0.367,0.533,0.4,0.6,0.231,0.406,0.274,0.46,0.302,0.499,0.319,0.518,0.289,0.489,0.333,0.533,0.201,0.387,0.242,0.435,0.269,0.47,0.285,0.487,0.25,0.467,0.3,0.5,0.17,0.367,0.21,0.41,0.235,0.442,0.251,0.457,0.211,0.444,0.267,0.467,0.474,0.562,0.53,0.661,0.572,0.726,0.591,0.764,0.6,0.667,0.6,0.8,0.109,0.328,0.146,0.36,0.168,0.385,0.183,0.395,0.133,0.4,0.2,0.4,""
1033,"good","e015137","d018672","e007763","e003166","d009949","a001299","d009949","d011904","d018672","e003166","d013762",0.044,0,0.066,0,0.077,0,0.087,0,0.033,0,0.1,0,0.029,0,0.044,0,0.052,0,0.058,0,0.022,0,0.067,0,0.022,0,0.033,0,0.039,0,0.043,0,0.017,0,0.05,0,0.015,0,0.022,0,0.026,0,0.029,0,0.011,0,0.033,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
1034,"bad","d009148","b013943","b001681","e009371","e001198","d008142","d014192","e009801","e010314","e000591","d004066",0.044,0.445,0.066,0.427,0.077,0.416,0.087,0.409,0.033,0.433,0.1,0.4,0.029,0.297,0.044,0.285,0.052,0.277,0.058,0.272,0.022,0.289,0.067,0.267,0.022,0.223,0.033,0.213,0.039,0.208,0.043,0.204,0.017,0.217,0.05,0.2,0.015,0.148,0.022,0.142,0.026,0.139,0.029,0.136,0.011,0.144,0.033,0.133,0.088,0.891,0.131,0.854,0.155,0.832,0.173,0.817,0.067,0.867,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,""
1035,"good","b008990","b009059","b014660","b017501","b016472","b018504","b014660","b000367","b009059","b018504","b015780",1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,""
1036,"b","a006733","b018510","b010488","b018203","b018998","b008961","e009483","e016609","e006540","b010903","e016547",0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,""
1037,"good","e008581","e016479","e005110","e004291","e013231","e015219","e004291","e018397","e001864","e015582","e016479",0.836,0.708,0.82,0.662,0.808,0.63,0.802,0.613,0.8,0.633,0.8,0.6,0.781,0.647,0.76,0.598,0.743,0.563,0.737,0.545,0.733,0.556,0.733,0.533,0.754,0.617,0.73,0.566,0.711,0.529,0.704,0.511,0.7,0.517,0.7,0.5,0.726,0.586,0.7,0.534,0.679,0.496,0.671,0.477,0.667,0.478,0.667,0.467,1,0.891,1,0.854,1,0.832,1,0.817,1,0.867,1,0.8,0.672,0.526,0.64,0.47,0.615,0.428,0.605,0.409,0.6,0.4,0.6,0.4,""
1038,"b","f003218","a009830","b008350","a009434","a004859","b003501","a003576","a000571","f018057","a008692","a006992",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,""
1039,"bad","b012623","b014702","b007039","b005034","d004770","e008934","d004770","d014177","e016660","d001319","a008161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
1040,"bad","d016296","d013320","d015963","d013931","d019225","e015773","d008193","d014237","d013187","d009583","b012392",0.347,0.639,0.327,0.626,0.314,0.625,0.307,0.617,0.333,0.7,0.3,0.6,0.231,0.547,0.218,0.545,0.209,0.551,0.205,0.547,0.222,0.622,0.2,0.533,0.173,0.502,0.164,0.505,0.157,0.514,0.154,0.513,0.167,0.583,0.15,0.5,0.116,0.456,0.109,0.464,0.105,0.477,0.102,0.478,0.111,0.544,0.1,0.467,0.693,0.912,0.655,0.869,0.628,0.845,0.615,0.827,0.667,0.933,0.6,0.8,0,0.365,0,0.384,0,0.404,0,0.408,0,0.467,0,0.4,""
